Listofcase,date,total_cases
1,3/8/2020,3
2,3/9/2020,3
3,3/10/2020,3
4,3/11/2020,3
5,3/12/2020,3
6,3/13/2020,3
7,3/14/2020,3
8,3/15/2020,5
9,3/16/2020,8
10,3/17/2020,10
11,3/18/2020,14
12,3/19/2020,17
13,3/20/2020,20
14,3/21/2020,25
15,3/22/2020,27
16,3/23/2020,33
17,3/24/2020,39
18,3/25/2020,39
19,3/26/2020,44
20,3/27/2020,48
21,3/28/2020,48
22,3/29/2020,48
23,3/30/2020,49
24,3/31/2020,51
25,4/1/2020,54
26,4/2/2020,56
27,4/3/2020,61
28,4/4/2020,70
29,4/5/2020,88
30,4/6/2020,123
31,4/7/2020,164
32,4/8/2020,218
33,4/9/2020,330
34,4/10/2020,424
35,4/11/2020,482
36,4/12/2020,621
37,4/13/2020,803
38,4/14/2020,1012
39,4/15/2020,1231
40,4/16/2020,1572
41,4/17/2020,1838
42,4/18/2020,2144
43,4/19/2020,2456
44,4/20/2020,2948
45,4/21/2020,3382
46,4/22/2020,3772
47,4/23/2020,4186
48,4/24/2020,4689
49,4/25/2020,4998
50,4/26/2020,5416
51,4/27/2020,5913
52,4/28/2020,6462
53,4/29/2020,7103
54,4/30/2020,7667
55,5/1/2020,8238
56,5/2/2020,8790
57,5/3/2020,9455
58,5/4/2020,10143
59,5/5/2020,10929
60,5/6/2020,11719
61,5/7/2020,12425
62,5/8/2020,13134
63,5/9/2020,13770
64,5/10/2020,14657
65,5/11/2020,15691
66,5/12/2020,16660
67,5/13/2020,17822
68,5/14/2020,18863
69,5/15/2020,20065
70,5/16/2020,20995
71,5/17/2020,22268
72,5/18/2020,23870
73,5/19/2020,25121
74,5/20/2020,26738
75,5/21/2020,28511
76,5/22/2020,30205
77,5/23/2020,32078
78,5/24/2020,33610
79,5/25/2020,35585
80,5/26/2020,36751
81,5/27/2020,38292
82,5/28/2020,40321
83,5/29/2020,42844
84,5/30/2020,44608
85,5/31/2020,47153
86,6/1/2020,49534
87,6/2/2020,52445
88,6/3/2020,55140
89,6/4/2020,57563
90,6/5/2020,60391
91,6/6/2020,63026
92,6/7/2020,65769
93,6/8/2020,68504
94,6/9/2020,71675
95,6/10/2020,74865
96,6/11/2020,78052
97,6/12/2020,81523
98,6/13/2020,84379
99,6/14/2020,87520
100,6/15/2020,90619
101,6/16/2020,94481
102,6/17/2020,98489
103,6/18/2020,102292
104,6/19/2020,105535
105,6/20/2020,108775
106,6/21/2020,112306
107,6/22/2020,115786
108,6/23/2020,119198
109,6/24/2020,122660
110,6/25/2020,126606
111,6/26/2020,130474
112,6/27/2020,133978
113,6/28/2020,137787
114,6/29/2020,141801
115,6/30/2020,145483
116,7/1/2020,149258
117,7/2/2020,153277
118,7/3/2020,156391
119,7/4/2020,159679
120,7/5/2020,162417
121,7/6/2020,165618
122,7/7/2020,168645
123,7/8/2020,172134
124,7/9/2020,175494
125,7/10/2020,178443
126,7/11/2020,181129
127,7/12/2020,183795
128,7/13/2020,186894
129,7/14/2020,190057
130,7/15/2020,193590
131,7/16/2020,196323
132,7/17/2020,199357
133,7/18/2020,202066
134,7/19/2020,204525
135,7/20/2020,207453
136,7/21/2020,210510
137,7/22/2020,213254
138,7/23/2020,216110
139,7/24/2020,218658
140,7/25/2020,221178
141,7/26/2020,223453
142,7/27/2020,226225
143,7/28/2020,229185
144,7/29/2020,232194
145,7/30/2020,234889
146,7/31/2020,237661
147,8/1/2020,239860
148,8/2/2020,240746
149,8/3/2020,242102
150,8/4/2020,244020
151,8/5/2020,246674
152,8/6/2020,249651
153,8/7/2020,252502
154,8/8/2020,255113
155,8/9/2020,257600
156,8/10/2020,260507
157,8/11/2020,263503
158,8/12/2020,266498
159,8/13/2020,269115
160,8/14/2020,271881
161,8/15/2020,274525
162,8/16/2020,276549
163,8/17/2020,279144
164,8/18/2020,282344
165,8/19/2020,285091
166,8/20/2020,287959
167,8/21/2020,290360
168,8/22/2020,292625
169,8/23/2020,294598
170,8/24/2020,297083
171,8/25/2020,299628
172,8/26/2020,302147
173,8/27/2020,304583
174,8/28/2020,306794
175,8/29/2020,308925
176,8/30/2020,310822
177,8/31/2020,312996
178,9/1/2020,314946
179,9/2/2020,317528
180,9/3/2020,319686
181,9/4/2020,321615
182,9/5/2020,323565
183,9/6/2020,325157
184,9/7/2020,327359
185,9/8/2020,329251
186,9/9/2020,331078
187,9/10/2020,332970
188,9/11/2020,334762
189,9/12/2020,336044
190,9/13/2020,337520
191,9/14/2020,339332
192,9/15/2020,341056
193,9/16/2020,342671
194,9/17/2020,344264
195,9/18/2020,345805
196,9/19/2020,347372
197,9/20/2020,348918
198,9/21/2020,350621
199,9/22/2020,352178
200,9/23/2020,353844
201,9/24/2020,355384
202,9/25/2020,356767
203,9/26/2020,357873
204,9/27/2020,359148
205,9/28/2020,360555
206,9/29/2020,362043
207,9/30/2020,363479
208,10/1/2020,364987
209,10/2/2020,366383
210,10/3/2020,367565
211,10/4/2020,368690
212,10/5/2020,370132
213,10/6/2020,371631
214,10/7/2020,373151
215,10/8/2020,374592
216,10/9/2020,375870
217,10/10/2020,377073
218,10/11/2020,378266
219,10/12/2020,379738
220,10/13/2020,381275
221,10/14/2020,382959
222,10/15/2020,384559
223,10/16/2020,386086
224,10/17/2020,387295
225,10/18/2020,388569
226,10/19/2020,390206
227,10/20/2020,391586
228,10/21/2020,393131
229,10/22/2020,394827
230,10/23/2020,396413
231,10/24/2020,397507
232,10/25/2020,398815
233,10/26/2020,400251
234,10/27/2020,401586
235,10/28/2020,403079
236,10/29/2020,404760
237,10/30/2020,406364
238,10/31/2020,407684
239,11/1/2020,409252
240,11/2/2020,410988
241,11/3/2020,412647
242,11/4/2020,414164
243,11/5/2020,416006
244,11/6/2020,417475
245,11/7/2020,418764
246,11/8/2020,420238
247,11/9/2020,421921
248,11/10/2020,423620
249,11/11/2020,425353
250,11/12/2020,427198
251,11/13/2020,428965
252,11/14/2020,430496
253,11/15/2020,432333
254,11/16/2020,434472
255,11/17/2020,436684
256,11/18/2020,438795
257,11/19/2020,441159
258,11/20/2020,443434
259,11/21/2020,445281
260,11/22/2020,447341
261,11/23/2020,449760
262,11/24/2020,451990
263,11/25/2020,454146
264,11/26/2020,456438
265,11/27/2020,458711
266,11/28/2020,460619
267,11/29/2020,462407
268,11/30/2020,464932
269,12/1/2020,467225
270,12/2/2020,469423
271,12/3/2020,471739
272,12/4/2020,473991
273,12/5/2020,475789
274,12/6/2020,477545
275,12/7/2020,479743
276,12/8/2020,481945
277,12/9/2020,484104
278,12/10/2020,485965
279,12/11/2020,487849
280,12/12/2020,489178
281,12/13/2020,490533
282,12/14/2020,492332
283,12/15/2020,494209
284,12/16/2020,495841
285,12/17/2020,496975
286,12/18/2020,498293
287,12/19/2020,499560
288,12/20/2020,500713
289,12/21/2020,502183
290,12/22/2020,503501
291,12/23/2020,504868
292,12/24/2020,506102
293,12/25/2020,507265
294,12/26/2020,508099
295,12/27/2020,509148
296,12/28/2020,510080
297,12/29/2020,511261
298,12/30/2020,512496
299,12/31/2020,513510
300,1/1/2021,514500
301,1/2/2021,515184
302,1/3/2021,516019
303,1/4/2021,516929
304,1/5/2021,517920
305,1/6/2021,518898
306,1/7/2021,519905
307,1/8/2021,520690
308,1/9/2021,521382
309,1/10/2021,522453
310,1/11/2021,523302
311,1/12/2021,524020
312,1/13/2021,524910
313,1/14/2021,525723
314,1/15/2021,526485
315,1/16/2021,527063
316,1/17/2021,527632
317,1/18/2021,528329
318,1/19/2021,529031
319,1/20/2021,529687
320,1/21/2021,530271
321,1/22/2021,530890
322,1/23/2021,531326
323,1/24/2021,531799
324,1/25/2021,532401
325,1/26/2021,532916
326,1/27/2021,533444
327,1/28/2021,533953
328,1/29/2021,534407
329,1/30/2021,534770
330,1/31/2021,535139
331,2/1/2021,535582
332,2/2/2021,536107
333,2/3/2021,536545
334,2/4/2021,537030
335,2/5/2021,537465
336,2/6/2021,537770
337,2/7/2021,538062
338,2/8/2021,538378
339,2/9/2021,538765
340,2/10/2021,539153
341,2/11/2021,539531
342,2/12/2021,539975
343,2/13/2021,540266
344,2/14/2021,540592
345,2/15/2021,541038
346,2/16/2021,541434
347,2/17/2021,541877
348,2/18/2021,542268
349,2/19/2021,542674
350,2/20/2021,543024
351,2/21/2021,543351
352,2/22/2021,543717
353,2/23/2021,544116
354,2/24/2021,544544
355,2/25/2021,544954
356,2/26/2021,545424
357,2/27/2021,545831
358,2/28/2021,546216
359,3/1/2021,546801
360,3/2/2021,547316
361,3/3/2021,547930
362,3/4/2021,548549
363,3/5/2021,549184
364,3/6/2021,549724
365,3/7/2021,550330
366,3/8/2021,551175
367,3/9/2021,552087
368,3/10/2021,553105
369,3/11/2021,554156
370,3/12/2021,555222
371,3/13/2021,556236
372,3/14/2021,557395
373,3/15/2021,559168
374,3/16/2021,560887
375,3/17/2021,562752
376,3/18/2021,564939
377,3/19/2021,566838
378,3/20/2021,568706
379,3/21/2021,570878
380,3/22/2021,573687
381,3/23/2021,577241
382,3/24/2021,580808
383,3/25/2021,584395
384,3/26/2021,588132
385,3/27/2021,591806
386,3/28/2021,595714
387,3/29/2021,600895
388,3/30/2021,605937
389,3/31/2021,611295
390,4/1/2021,617764
391,4/2/2021,624594
392,4/3/2021,630277
393,4/4/2021,637364
394,4/5/2021,644439
395,4/6/2021,651652
396,4/7/2021,659278
397,4/8/2021,666132
398,4/9/2021,673594
